floor,user_name,user_id,publish_time,content,gp_count,bp_count
1,巴哈小幫手,fuligirl,2023-08-08 12:00:01,"由星重力數位科技代理的本格派戰棋玩法的像素風手機遊戲《鈴蘭之劍：為這和平的世界》將於今日正式上市，具備戰棋要素、精緻像素風格和宏觀史詩故事的本格派日式角色扮演遊戲，開發團隊以全新的引擎渲染，憑藉其獨特的藝術風格，以令人驚嘆的現代圖形將經典像素帶入玩家的生活。遊戲中經典的戰棋玩法，讓玩家能夠體驗到高度策略的遊戲性，透過自己的選擇和表現，來改變劇情的發展，遊戲中的故事將讓玩家們透過命運之門進入到獨立的時空，進而扭轉、改變那些曾經的過往，享受到如完整單機遊戲一般的體驗，讓您從頭到尾都沉浸其中。為了歡慶遊戲上市，此次特別與巴哈姆特聯手推出線上專屬活動，每日前往活動頁面參與活動，並幫助鈴蘭小鎮建設發展，提高小鎮繁榮度，就能拿走虛寶以及抽中實體週邊等超大好禮。活動傳送門活動時間：8/8 12:00 ～ 8/19 23:59參與資格：通過手機認證的巴哈姆特會員皆可參加活動。活動獎勵：追蹤《鈴蘭之劍：為這和平的世界》官方 FB 粉絲團與按下建設即可獲得遊戲虛寶樂土幣 x 3000、希望晶石 x 30、命運之鑰 x 1鈴蘭小鎮繁榮度達到 120 點，將抽出 9 名玩家送出精美像素小立牌( 9 個角色) x 1 組注意事項：
分享 / 協助點擊連結的玩家需登入巴哈姆特帳號。
參與本次活動之巴哈會員需通過手機認證資格。
每名玩家每天最多協助 3 名玩家建設小鎮，隔日重置次數，但無法再幫忙已協助過的玩家。
每 1 名玩家每日最多可獲得 20 點繁榮度，每日按下我要建設獲得 10 點；被他人協助也可獲得 10 點。
本活動獎勵序號僅於《鈴蘭之劍：為這和平的世界》遊戲中使用，無法折換現金或等值商品。
本活動獎勵序號一個遊戲帳號限兌換一次，兌換後會派發獎勵至遊戲內信箱，請在 2023/10/31 前兌換完畢，逾期失效。
於站內分享活動連結時請勿洗板、跨板多貼，如有違規行為最重將導致全站禁貼處分，主辦單位保留所有獎品發送的一切權利。
本活動僅限於設籍於台灣、金門、澎湖、馬祖地區者參加，配送地址以中獎人所填資料之地址為準，主辦單位不負贈品無法送達之責任。
玩家參與本活動之同時，即視為同意接受本活動之規範，如有違反、或以惡意之電腦程式或其他明顯違反活動公平性之方式，意圖影響活動結果並導致系統異常者，一律視為無效資料。
獎項詳細內容與規格皆以實物為準，得獎人不得要求獎項更換或轉讓，如遇產品缺貨或其他不可抗力之事由，主辦單位得保留更換等值獎品之權利。
主辦單位保有隨時修改及終止本活動之權利，如有任何變更內容或詳細注意事項將公布於巴哈姆特活動專板，恕不另行通知。
得獎者將在活動結束後以站內信通知，收到通知者請於一週內以站內信回覆獎品寄送之聯絡資訊，逾時得取消資格。
本次活動與蘋果公司（Apple Inc.）無關，蘋果公司（Apple Inc.）非活 動發起人，也未以任何形式參與本次活動。
本次《鈴蘭之劍：為這和平的世界》活動得獎者將於巴哈姆特隨機抽出中獎者，完整得獎名單預計於 9/1（五）前公布於勇者福利社。",17,0
3,蒼天小龍,unomen,2023-08-08 16:06:36,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=dW5vbWVu&id=1,0,0
5,星支星哞斬,coo741456,2023-08-08 20:14:21,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=Y29vNzQxNDU2&id=1互相幫忙點 感謝,0,0
6,Jacky,j8144123,2023-08-08 20:22:29,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=ajgxNDQxMjM-&id=3互相建設,0,0
7,炙焰亞卓,CDenny,2023-08-08 20:32:49,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=Y2Rlbm55&id=6互助互助,0,0
8,Vicious,kuso326,2023-08-08 20:58:49,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=a3VzbzMyNg--&id=1互相幫助,0,0
9,Desirable,yen54301,2023-08-08 21:22:01,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=eWVuNTQzMDE-&id=1,0,0
10,爻Dream楓,adf12365,2023-08-08 21:28:49,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YWRmMTIzNjU-&id=1護幫點完後留言會回點還有2次,0,0
11,yoyoman,a63749100,2023-08-08 21:33:44,還沒建設完，我的可以點，雙方互相都有獎勵https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YTYzNzQ5MTAw&id=1,0,0
12,Random,a0925618450,2023-08-08 21:35:23,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YTA5MjU2MTg0NTA-&id=3,0,0
14,雷神可可,joe812,2023-08-08 22:21:38,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=am9lODEy&id=1,0,0
15,arc,pig92106,2023-08-08 22:57:34,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=cGlnOTIxMDY-&id=1,1,0
17,絕敖,rs5566456,2023-08-09 01:06:02,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=cnM1NTY2NDU2&id=3,0,0
18,荃倫,emiiy7305,2023-08-09 04:02:07,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=ZW1paXk3MzA1&id=6幫點完留言，我再回點，謝你,0,0
19,wei,a770704,2023-08-09 10:23:42,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YTc3MDcwNA--&id=1,0,0
20,想開後宮的鍵之子,josh830709,2023-08-09 11:02:04,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=am9zaDgzMDcwOQ--&id=1,0,0
floor,user_name,user_id,publish_time,content,gp_count,bp_count
1,cpan,cpan,2009-03-09 11:29:41,"
不管你是新手或是老手，希望大家來到哈啦區，都能夠感受到輕鬆無壓力的氛圍(o^-^)o但請務必記住，輕鬆並不等於放縱隨便，板面是所有使用者的公共產物，並不歸屬於任何私人所有，請以禮相待、尊重他人，哈啦區的版面秩序，須有賴你我共同維繫！●違規警戒區：
請勿發表與本板無關或違反規定的內容，違者將依站規處理，
並加倍回收你因違規而獲得的任何獎勵，累犯者加重處分。    提醒你:洗板、跨板多貼、謾罵、商業廣告、盜版...等都是違規的，詳見站規。
為維持勇者世界的正常運作與趣味性，    凡查獲有試圖異常衝高某統計數值（如巴幣、GP），破壞勇者系統平衡性者，    將從嚴處分，並將數值重置歸零。
蓄意利用或教唆他人進行違規者，亦視同違規，絕不輕罰。        → 發現違規？來這檢舉！     
●總管群的叮嚀：
在無板主看板、站務板等區域下活動，勇者不會獲得任何獎勵(經驗值及巴幣)。
文章內容愈用心或資訊愈實用，你獲得GP與獎勵的機會就愈高！
在站規內不罰的個案，並不代表在法庭上無罪，    請注意發文禮貌、尊重他人，且不要發表內含違反法律的內容，    學習對自己言論負責，切勿以身試法。    →關於毀謗與違法
張貼各類分享的同時，    只要非自己原創之作品，即應附上原出處及徵求原作者同意。     請尊重原作者，並且審度是否符合合理使用的範圍。    →關於著作權與引用 
為方便網友查找資訊，相同主題文章(如索討帳號)，請集中發表在同一串之下。
--網站並非只是一個單純的虛擬空間，也是一個現實社會的縮影，請正視你的所作所為，尊重他人，也等於尊重你自己。輕鬆不放縱，哈啦更暢快！巴哈姆特哈啦區總管群 敬啟 
",1000,500
floor,user_name,user_id,publish_time,content,gp_count,bp_count
1,田園日記,a0935025688,2023-08-09 12:18:07,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YTA5MzUwMjU2ODg-&id=1,0,0
3,田園日記,a0935025688,2023-08-10 09:55:37,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YTA5MzUwMjU2ODg-&id=1今日幫助，留言會互點,0,0
4,DL,duolung66,2023-08-10 10:48:03,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=ZHVvbHVuZzY2&id=1,0,0
6,開心玩0v0b,tom65933,2023-08-10 11:00:56,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=dG9tNjU5MzM-&id=1,0,0
8,kenny92,qinzhe520,2023-08-10 11:09:40,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=cWluemhlNTIw&id=2,0,0
9,疾音,aesopm69671,2023-08-10 11:56:20,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YWVzb3BtNjk2NzE-&id=1,0,0
10,將軍,yui984,2023-08-10 11:59:09,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=eXVpOTg0&id=2,0,0
11,NGOD,Aaron1209,2023-08-10 12:00:13,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YWFyb24xMjA5&id=1,0,0
12,寶爸的逆襲,waterfliest,2023-08-10 12:22:07,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=d2F0ZXJmbGllc3Q-&id=1,0,0
13,Shouay,s19870414,2023-08-10 12:25:22,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=czE5ODcwNDE0&id=1,0,0
14,joey,joey31878,2023-08-10 12:48:08,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=am9leTMxODc4&id=1  幫忙,0,0
15,希洛米,aioustka,2023-08-10 16:16:17,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YWlvdXN0a2E-&id=1,0,0
16,T5354T,T5354T,2023-08-10 16:35:13,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=dDUzNTR0&id=2,0,0
17,范飛司克,devil06,2023-08-10 16:38:40,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=ZGV2aWwwNg--&id=1,0,0
18,肥帥ㄍ,mibj2003,2023-08-10 16:52:30,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=bWliajIwMDM-&id=1,0,0
19,普攏共,GX360,2023-08-10 20:13:39,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=Z3gzNjA-&id=1,0,0
